original_name,pinyin_name,new_filename,mass_kg
chassis\Wangs - chassis-1 上层板-1 功放拓展接口-1.STL,wangs___chassis_1__shang_ceng_ban__1__gong_fang_tuo_zhan_jie_kou__1,wangs___chassis_1__shang_ceng_ban__1__gong_fang_tuo_zhan_jie_kou__1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 语音模块 M260C环形六麦.stp-1.STL,wangs___chassis_1__shang_ceng_ban__1__yu_yin_mo_kuai__m260c_huan_xing_liu_mai__stp_1,wangs___chassis_1__shang_ceng_ban__1__yu_yin_mo_kuai__m260c_huan_xing_liu_mai__stp_1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 语音版 主板+转接板.stp-1.STL,wangs___chassis_1__shang_ceng_ban__1__yu_yin_ban___zhu_ban___zhuan_jie_ban__stp_1,wangs___chassis_1__shang_ceng_ban__1__yu_yin_ban___zhu_ban___zhuan_jie_ban__stp_1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 贼新音频层板-1.STL,wangs___chassis_1__shang_ceng_ban__1__zei_xin_yin_pin_ceng_ban__1,wangs___chassis_1__shang_ceng_ban__1__zei_xin_yin_pin_ceng_ban__1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-1.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_1,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-10.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_10,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_10.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-11.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_11,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_11.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-12.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_12,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_12.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-13.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_13,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_13.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-2.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_2,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_2.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-3.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_3,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_3.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-4.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_4,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_4.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-5.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_5,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_5.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-6.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_6,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_6.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-7.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_7,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_7.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-8.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_8,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_8.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 铜柱-双通-3x5-9.STL,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_9,wangs___chassis_1__shang_ceng_ban__1__tong_zhu___shuang_tong__3x5_9.stl,0.0001
chassis\Wangs - chassis-1 下层板-1 下层板-鸡哥变压器中继-1.STL,wangs___chassis_1__xia_ceng_ban__1__xia_ceng_ban___ji_ge_bian_ya_qi_zhong_ji__1,wangs___chassis_1__xia_ceng_ban__1__xia_ceng_ban___ji_ge_bian_ya_qi_zhong_ji__1.stl,0.0001
chassis\Wangs - chassis-1 中心板-1 中心板-1.STL,wangs___chassis_1__zhong_xin_ban__1__zhong_xin_ban__1,wangs___chassis_1__zhong_xin_ban__1__zhong_xin_ban__1.stl,0.0001
chassis\Wangs - chassis-1 中心板-1 中心板垫板-1.STL,wangs___chassis_1__zhong_xin_ban__1__zhong_xin_ban_dian_ban__1,wangs___chassis_1__zhong_xin_ban__1__zhong_xin_ban_dian_ban__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 右侧面外壳板-2.STL,wangs___chassis_1__wai_ke___you_ce__1__you_ce_mian_wai_ke_ban__2,wangs___chassis_1__wai_ke___you_ce__1__you_ce_mian_wai_ke_ban__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱-1.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu__1,wangs___chassis_1__wai_ke___you_ce__1__li_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱-2.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu__2,wangs___chassis_1__wai_ke___you_ce__1__li_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-1.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__1,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-2.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__2,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-3.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__3,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__3.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-4.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__4,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__4.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-5.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__5,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__5.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱套管-6.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__6,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_tao_guan__6.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱层板垫块侧面-打印-1.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__1,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-右侧-1 立柱层板垫块侧面-打印-2.STL,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__2,wangs___chassis_1__wai_ke___you_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 左侧面外壳板-1.STL,wangs___chassis_1__wai_ke___zuo_ce__1__zuo_ce_mian_wai_ke_ban__1,wangs___chassis_1__wai_ke___zuo_ce__1__zuo_ce_mian_wai_ke_ban__1.stl,0.0001
